Dbp2.1	Dbp2.2	Dbp2.3
YJR139C	161	37	171
YJR143C	97	74	73
YJR145C	722	422	703
YJR148W	170	97	158
YKL218C	9	24	22
YKL216W	263	299	184
YKL213C	20	20	36
YKL212W	147	146	125
YKL211C	16	106	28
YKL210W	189	257	334
YKL209C	35	39	24
YKL207W	16	23	18
YKL205W	21	77	31
YKL201C	19	8	14
YKL198C	6	9	57
YKL196C	10	55	19
YKL195W	87	72	114
YKL192C	51	266	62
YKL191W	10	19	25
YKL190W	75	161	49
YKL185W	45	30	27
YKL184W	77	182	63
YKL182W	1614	1541	1464
YKL181W	57	32	88
YKL180W	471	406	679
YKL176C	34	122	49
YKL173W	39	12	39
YKL170W	17	6	25
YKL164C	493	176	389
YKL160W	8	83	7
YKL157W	54	143	38
YKL156W	68	210	155
YKL154W	20	9	15
YKL152C	2458	1435	2192
YKL150W	31	120	50
YKL142W	43	18	51
YKL140W	14	42	23
YKL129C	14	14	7
YKL128C	11	23	76
YKL127W	12	75	9
YKL126W	50	82	54
YKL125W	6	7	8
YKL122C	36	94	14
YKL120W	34	65	21
YKL117W	163	48	187
YKL110C	13	18	33
YKL109W	8	11	7
YKL105C	20	101	7
YKL104C	82	309	49
YKL101W	141	27	254
YKL100C	110	47	105
YKL096W-A	647	642	1101
YKL096W	51	69	71
YKL092C	11	45	44
YKL087C	21	10	10
YKL085W	8	91	7
YKL081W	966	883	1225
YKL080W	111	39	69
YKL077W	33	18	25
